ParkCode,LatS,LongE,LatN,LongW,lng,lat
NETN,39,-66.95,46,-76.383,42.5,-71.6665
ACAD,44.006,-67.5,44.431,-68.66,44.2185,-68.3485
MABI,43.627,-72.507,43.64,-72.554,43.6335,-72.5305
MIMA,42.446,-71.256,42.475,-71.383,42.4605,-71.3195
MORR,40.74,-74.466,40.799,-74.566,40.7695,-74.516
ROVA,41.756,-73.887,41.805,-73.947,41.7805,-73.917
SAGA,43.503,-72.364,43.49,-72.381,43.4965,-72.3725
SARA,42.973,-73.599,43.015,-73.659,42.994,-73.629
WEFA,41.255,-73.45,41.266,-73.459,41.2605,-73.4545
